good morning,早上好；早晨
memorial,n.,纪念碑；纪念馆
memorial tablet,n.,纪念碑
memories,n.,回忆；记忆
memorise,v.,记住；记忆
memorize words,phr.,记单词
men's fashion,n.,男士时尚
menace,n.,威胁；恐吓
menace,v.,威胁；恐吓
mend torn pages,phr.,修补撕破的书页
mental ability,n.,心智能力
mental health,n.,心理健康
mentality,n.,心态；思想方法
mentor,n.,导师
mentor,v.,指导
merchandise,n.,商品；货物
merchandise,v.,推销；买卖
merchandising,n.,推销；销售规划
merchandising,v.,推销（的现在分词）
merchant,adj.,商业的
merchant,n.,商人
mercy,n.,怜悯；仁慈
merge,v.,（使）合并；（使）融合
merger,n.,合并；并购
merry,adj.,愉快的；高兴的
merry,n.,甜樱桃
merry-go-round,n.,旋转木马
meshing,n.,啮合
meshing,v.,啮合（的现在分词）
mesmerise,v.,迷住；施催眠术
messages,n.,消息（复数）
messages,v.,发信息（第三人称单数）
meta path finder,元路径查找器 
metabolic,adj.,新陈代谢的
metabolism,n.,新陈代谢
metaclass,n.,元类
metallic grey,金属灰 
metallurgy,n.,冶金学
metals,n.,金属（复数）
metaphor,n.,隐喻；比喻
metaphorical,adj.,隐喻的
metaprogramming,n.,元编程
meteorite,n.,陨石
meteorological,adj.,气象的
meteorology,n.,气象学
methane,n.,甲烷；沼气
method resolution order,方法解析顺序 
methods,n.,方法（复数）
meticulous,adj.,一丝不苟的；非常仔细的
meticulously,adv.,一丝不苟地
metro,n.,地铁
metro-liner,n.,都市快车
metropolis,n.,大都市；首府
metropolitan,adj.,大都市的
metropolitan,n.,大都市居民
micro,n.,微型计算机
micro film,n.,微缩胶卷
micro-radiogram,n.,显微放射照片
microbe,n.,微生物；细菌
microbiology,n.,微生物学
microchip,n.,微芯片
microcomputer,n.,微型计算机
microcosm,n.,微观世界；缩影
microprocessor,n.,微处理器
microscope,n.,显微镜
microwave oven,n.,微波炉
microwave stove,n.,微波炉
mid,adj.,中间的
mid,prep.,在…中间
middle of the century,世纪中叶 
middle school,n.,中学
midst,n.,中间
midst,prep.,在…中间
migrating population,phr.,迁徙人口
migratory,adj.,迁徙的；流动的
militant,adj.,好战的；激进的
militant,n.,激进分子
military band,n.,军乐队
military magazine,n.,军事杂志
military museum,n.,军事博物馆
military training,n.,军事训练
milk powder,n.,奶粉
millennium,n.,一千年；千禧年
millimeter,n.,毫米
millionth,adj.,第一百万的；百万分之一的
millionth,n.,第一百万；百万分之一
mime,n.,哑剧；哑剧演员
mime,v.,表演哑剧
mimetic,adj.,模仿的
mimic,adj.,模仿的
mimic,n.,善于模仿的人
mimic,v.,模仿
minder,n.,看护人；保镖
mindful,adj.,留意的；注意的
mineral soil,n.,矿物质土壤
mineral water,n.,矿泉水
mineralogy,n.,矿物学
minerals,n.,矿物质
mingle,v.,（使）混合；交往
miniature landscape,n.,微缩景观；盆景
minibus,n.,小型公共汽车；面包车
minibus,v.,乘小巴
minimise,v.,使最小化
minimize bad effects of disasters,phr.,将灾害的不良影响降至最低
minimum income,n.,最低收入
minimum joining age,n.,最低加入年龄
miniscule,adj.,极小的
minivan,n.,小型货车
minor course,n.,副修课程
minor part,n.,次要角色
minority language,n.,少数民族语言
minority nationalities,n.,少数民族
mint,adj.,崭新的
mint,n.,薄荷；造币厂
mint,v.,铸造（货币）
minus,adj.,负的
minus,n.,负号；缺点
minus,prep.,减去
minus side,n.,负面
minute hand,n.,分针
minutes,n.,会议记录
miraculous,adj.,奇迹般的；不可思议的
misapprehend,v.,误解
misapprehension,n.,误解
miscellaneous,adj.,各种各样的；混杂的
misconception,n.,误解；错误观念
misconduct,n.,不当行为
misconduct,v.,行为不端；处理不当
misguide the consumers,phr.,误导消费者
misguided,adj.,被误导的；判断失误的
misguided,v.,误导
mishandle,v.,处理不当；虐待
mishap,n.,小事故；不幸
misinform,v.,告知错误信息
misjudge,v.,判断错误
mislead consumers,phr.,误导消费者
mismatch,n.,不匹配；不协调
mismatch,v.,使不匹配；使不协调
mission statement,phr.,宗旨宣言
missionary,adj.,传教的
missionary,n.,传教士
mist,n.,薄雾
mist,v.,（使）蒙上薄雾；（使）模糊
mistreat consumers,phr.,欺骗消费者
mistress,n.,女主人；情妇
mistrust,n.,不信任；怀疑
mistrust,v.,不信任；怀疑
misuse,n.,滥用；误用
misuse,v.,滥用；误用
mite,n.,小虫；少量
mitigate,v.,减轻；缓和
mitigation,n.,减轻；缓和
mitten,n.,连指手套
mixed,adj.,混合的；男女混合的
mixed-sex school,phr.,男女同校的学校
mixin,混入类 
moan,n.,呻吟；抱怨
moan,v.,呻吟；抱怨
mobile phone,n.,手机
mobile phones,n.,手机（复数）
mobility,n.,流动性；移动性
mobster,n.,暴徒；匪徒
mock,adj.,模拟的；假的
mock,n.,嘲笑；模拟考试
mock,v.,嘲笑；模仿
mocker,n.,嘲笑者
mockery,n.,嘲笑；拙劣的模仿
mocking,adj.,嘲弄的
mocking,v.,嘲笑（的现在分词）
model making,phr.,模型制作
modem,n.,调制解调器
moderately,adv.,适度地；一般地
moderation,n.,适度；节制
modern acrobatics,n.,现代杂技
modern building,n.,现代建筑
modern city,n.,现代城市
modern dance,n.,现代舞
modern industry,n.,现代工业
modern language,n.,现代语言
modern life,n.,现代生活
modernism,n.,现代主义
modernity,n.,现代性
modifier,n.,修饰语；调节器
modish,adj.,时髦的
modular course,n.,模块化课程
module,n.,模块；单元
moisten,v.,弄湿；使湿润
moisture,n.,湿气；水分
molecule,n.,分子
molten,adj.,熔化的
molten,v.,换毛（的过去分词）
momentous,adj.,重大的；重要的
momentum,n.,势头；动力；动量
monarch,n.,君主
monetary value,n.,货币价值
money management,n.,理财
money-lender,n.,放债人
money-making,adj.,赚钱的
money-oriented,adj.,拜金的
monkey patching,phr.,猴子补丁
monkey show,n.,猴戏
monkeys,n.,猴子（复数）
monkeys,v.,胡闹（第三人称单数）
mono,n.,单声道
monochrome,adj.,单色的；黑白的
monochrome,n.,单色画
monoculture,n.,单一栽培
monograph,n.,专题论文
monograph,v.,写专题论文
monolingual,adj.,单语的
monolingual,n.,只会一种语言的人
monolith,n.,巨石；庞大的组织
monologue,n.,独白
monopolise,v.,垄断；独占
monopolist,n.,垄断者
monopolistic,adj.,垄断的
monopoly,n.,垄断
monosodium Glutamate,n.,味精
monoxide,n.,一氧化物
monsoon,n.,季风
monthly magazine,n.,月刊
monuments,n.,纪念碑（复数）；古迹
moods,n.,情绪（复数）
moon cake,n.,月饼
morale,n.,士气
morals,n.,道德；品行
moribund,adj.,垂死的；停滞不前的
moribund,n.,垂死的人
morning news,n.,早间新闻
morning show,phr.,早间节目
morning tea,phr.,早茶
morning's event,phr.,上午的活动
morose,adj.,阴郁的；孤僻的
morphine,n.,吗啡
morphology,n.,形态学
morsel,n.,一小口；少量
mortal,adj.,凡人的；致命的
mortal,n.,凡人
mortality,n.,死亡率；必死性
mortify,v.,使受辱；使窘迫
moss,n.,苔藓
moss,v.,使长满苔藓
mother tongue,n.,母语
motif,n.,主题；图案；动机
motivational,adj.,激励人心的
motor-boat race,phr.,摩托艇比赛
motorboat,n.,摩托艇
motorcycle,n.,摩托车
motorcycle,v.,骑摩托车
motto,n.,座右铭；格言
mould,n.,模具；霉菌
mould,v.,塑造；发霉
moulding board,n.,模具板
mountain bike,n.,山地自行车
mountain building,n.,造山运动
mountain climate,n.,山地气候
mountain climbing,n.,登山
mountain range,n.,山脉
mountaineering boots,n.,登山靴
mountains,n.,山脉
mounting pressure,phr.,日益增大的压力
mourn,v.,哀悼
mourning apparel,n.,丧服
moustache,n.,小胡子
mouth-watering,adj.,令人垂涎的
move along,phr.,向前走
move in,phr.,搬进来
move into,phr.,搬进
move out,n.,搬出
moving,adj.,动人的；移动的
mow,n.,割草
mow,v.,割草
muddle,n.,混乱；困惑
muddle,v.,弄乱；使困惑
mug,n.,马克杯；脸
mug,v.,对…行凶抢劫
muggy,adj.,闷热的
mulberry,adj.,桑树的
mulberry,n.,桑葚；桑树
mullion,n.,（窗的）竖框
multi,prefix.,多
multi-media classrooms,phr.,多媒体教室
multi-system,phr.,多系统
multicultural,adj.,多元文化的
multifaceted,adj.,多方面的
multiform,adj.,多种形式的
multilateral,adj.,多边的
multilingual,adj.,使用多种语言的
multilingual,n.,会多种语言的人
multimedia resources,phr.,多媒体资源
multinational,adj.,跨国的
multinational,n.,跨国公司
multinational company,n.,跨国公司
multiplicity,n.,多样性；多数
multiprocessing,n.,多重处理
multiset,n.,多重集
multitude,n.,大量；大批；民众
mundane,adj.,世俗的；平凡的
murky,adj.,黑暗的；浑浊的；可疑的
murmur,n.,低语声；怨言
murmur,v.,低声说；小声抱怨
muscle pain,n.,肌肉疼痛
musculo-skeletal,adj.,肌肉骨骼的
music festival,n.,音乐节
music instrument,n.,乐器
music programme,n.,音乐节目
music video,n.,音乐视频
musical comedy,n.,音乐喜剧
musical instrument,n.,乐器
mustard,n.,芥末
mutable,adj.,可变的；易变的
mutate,v.,（使）突变
mutation,n.,突变；变异
mutator method,phr.,修改器方法
mute,adj.,沉默的；哑的；无声的
mute,n.,哑巴；弱音器
mute,v.,减弱…的声音
mutter,n.,喃喃自语
mutter,v.,咕哝；低声抱怨
mutton,n.,羊肉
mutual interest,phr.,共同利益
mystical,adj.,神秘的；神秘主义的
mystify,v.,使困惑；使迷惑
nail clipper,n.,指甲刀
nail polish,n.,指甲油
nailbrush,n.,指甲刷
name brand,n.,名牌
name mangling,phr.,名称重整
named tuple,phr.,命名元组
names,n.,名字（复数）
names,v.,命名（第三人称单数）
namespace,n.,命名空间
namespace package,phr.,命名空间包
napkin,n.,餐巾
narcissus,n.,水仙花
narration,n.,叙述；故事
narrator,n.,叙述者；解说员
narrow-minded,adj.,心胸狭窄的
nation,n.,国家；民族
national costume,phr.,民族服装
national highway,phr.,国道
national holiday,phr.,国定假日
national holidays,phr.,国定假日（复数）
national identity,phr.,民族认同
national newspaper,n.,全国性报纸
national park,n.,国家公园
national press,phr.,全国性新闻媒体
national treasure,n.,国宝
native language,phr.,母语
native speaker,phr.,母语者
native speakers,phr.,母语者（复数）
natty,adj.,整洁时髦的
natural beauty,phr.,自然美景
natural calamities,phr.,自然灾害
natural disaster,n.,自然灾害
natural gas,n.,天然气
natural harbor,phr.,天然港口
natural landscape,phr.,自然景观
natural language,phr.,自然语言
natural loss,phr.,自然损耗
natural medicine,phr.,天然药物
natural museum,phr.,自然博物馆
natural scene,phr.,自然景象
natural spring,phr.,天然泉水
naturalistic,adj.,自然主义的
nature study,phr.,自然课
naturopath,n.,自然疗法师
naught,adj.,无价值的
naught,n.,零；无
naughty,adj.,淘气的；顽皮的
navel orange,n.,脐橙
navigable,adj.,可航行的
navigate,v.,航行；驾驶；导航
navigational,adj.,航行的；导航的
navigator,n.,领航员
near the time,phr.,临近那个时间
near-sightedness,n.,近视
neatness,n.,整洁；简洁
necessitate,v.,使成为必要
necessities of success,phr.,成功的必要条件
neckline,n.,领口
negate,v.,否定；取消
negligent,adj.,疏忽的；粗心大意的
negotiable,adj.,可协商的
negotiation skills,phr.,谈判技巧
neighbourhood,n.,社区；街区；附近
neighbouring,adj.,邻近的
neighbours,n.,邻居们
neoclassical,adj.,新古典主义的
neon-light advertisement,phr.,霓虹灯广告
nested conditional,phr.,嵌套条件句
nested list,phr.,嵌套列表
nested scope,phr.,嵌套作用域
nesting,n.,筑巢；嵌套
nests,n.,巢（复数）
nests,v.,筑巢（第三人称单数）
nets,n.,网（复数）
nets,v.,用网捕（第三人称单数）
network show,phr.,联播节目
neural,adj.,神经的
neurological,adj.,神经学的
neurologist,n.,神经科医生
neuron,n.,神经元
neuroscientist,n.,神经科学家
neurosis,n.,神经官能症
neurotrophic,adj.,神经营养的
neutrality,n.,中立
neutralize,v.,使无效；中和
new brand,phr.,新品牌
new edition,n.,新版本
new-style class,phr.,新式课程
newcomer,n.,新来的人
newly,adv.,最近；新近
news agency,n.,通讯社
news analyst,n.,新闻分析员
news blockout,phr.,新闻封锁
news bulletin,n.,新闻简报
news comment,n.,新闻评论
news conference,n.,新闻发布会
news coverage,n.,新闻报道
news headlines,n.,新闻头条
news hole,n.,新闻版面
news magazine,n.,新闻杂志
news report,n.,新闻报道
news summary,n.,新闻摘要
news vendor,n.,报贩
news-stand,n.,报摊
newscaster,n.,新闻播音员
newsflash,n.,新闻快讯
newsletters,n.,时事通讯（复数）
newspaper advertisement,n.,报纸广告
newspaper office,n.,报社
newspaper binder,n.,报纸夹
newspaperman,n.,新闻记者
newspapers,n.,报纸（复数）
newsprint,n.,新闻纸
newsreel,n.,新闻影片
newsroom,n.,新闻编辑室
newsstand,n.,报摊
nibble,n.,一小口
nibble,v.,小口地咬；啃
nicety,n.,精确；细微之处
nickel,n.,镍；五分镍币
nickel,v.,镀镍
nickname,n.,绰号；昵称
nickname,v.,给…起绰号
nicotine,n.,尼古丁
niggle,v.,拘泥小节；为小事操心
niggling,adj.,琐碎的；费神的
niggling,n.,挑剔
niggling,v.,挑剔（的现在分词）
night bus,phr.,夜班车
night club,phr.,夜总会
night life,phr.,夜生活
night school,phr.,夜校
night shift,phr.,夜班
night shifts,phr.,夜班（复数）
night table,phr.,床头柜
night tour,phr.,夜游
nil,n.,零；无
ninepins,n.,九柱戏
nitrogen,n.,氮
nitrogen dioxide,n.,二氧化氮
nitrous,adj.,氮的
no,adj.,没有
no one,pron.,没有人
no same interest,phr.,没有共同兴趣
not qualified,phr.,不合格
not suitable for children to watch,phr.,不适合儿童观看
nobility,n.,贵族；高贵
noble cause,phr.,崇高的事业
nobleman,n.,贵族男子
nocturnal,adj.,夜间活动的；夜间的
noise factor,n.,噪声系数
noise level,n.,噪音水平
noise of air-conditioners,phr.,空调的噪音
noisy,adj.,吵闹的
noisy community,n.,嘈杂的社区
nomadic,adj.,游牧的；流浪的
nominal,adj.,名义上的；微不足道的
nominal,n.,名词性词语
nominate,v.,提名；任命
nomination,n.,提名；任命
non-active,adj.,不活跃的
non-alcoholic drink,n.,无酒精饮料
non-drinker,n.,不喝酒的人
non-existent,adj.,不存在的
non-native,adj.,非本地的
non-native,n.,非本地人
non-porous,adj.,无孔的
non-profitable,n.,非盈利的
non-profitable ads,n.,公益广告
non-smoking,adj.,禁止吸烟的
non-smoking section,n.,无烟区
non-verbal,adj.,非语言的
nonetheless,adv.,尽管如此；然而
nonfat milk,phr.,脱脂牛奶
nonoverriding descriptor phrase,phr.,非覆盖描述符
nonpareil,adj.,无与伦比的
nonpareil,n.,无与伦比的人或物
nonpolitical,adj.,非政治性的
nonrefundable,adj.,不可退款的
nope,adv.,不（口语）
normal cycle,phr.,正常周期
normal noise threshold,phr.,正常噪音阈值
normal school,phr.,师范学校
normal university,phr.,师范大学
north wing of building,phr.,大楼的北翼
northeast,adj.,东北的
northeast,adv.,向东北
northeast,n.,东北
nosh bar,phr.,小吃店
nostalgia,n.,怀旧；乡愁
nostalgic,adj.,怀旧的
not add up,phr.,（说法）前后矛盾；（数字）加起来不对
notice board,phr.,公告栏
notice of loss,n.,损失通知
noticeably,adv.,显著地
noticeboard,n.,公告栏
notification,n.,通知；通告
notional,adj.,概念上的；抽象的
notoriety,n.,声名狼藉
notorious,adj.,臭名昭著的
notwithstanding,adv.,尽管如此
notwithstanding,conj.,虽然
notwithstanding,prep.,尽管
nought,n.,零
nought point eight,phr.,零点八
nourished,adj.,营养良好的
nourished,v.,滋养了
nourishing,adj.,有营养的
nourishing,v.,滋养（的现在分词）
nourishment,n.,营养；养分
noxious,adj.,有害的；有毒的
nuance,n.,细微差别
nuclear contamination,n.,核污染
nuclear families,n.,核心家庭
nuclear family,n.,核心家庭
nuclear material,n.,核材料
nuclear power plant,n.,核电站
nuclear radiation,n.,核辐射
nuclear test,n.,核试验
nuclear waste,n.,核废料
null and void,adj.,无效的
nullify,v.,使无效；取消
number plate,n.,车牌
numbers,n.,数字；算术
numeracy,n.,计算能力
numeral,n.,数字；数词
numerate,adj.,有计算能力的
numerate,v.,数；列举
numeric,n.,数字
numerical,adj.,数字的；用数字表示的
nursery school,n.,幼儿园
nursing,n.,护理；护理学
nursing,v.,护理（的现在分词）
nursing care,n.,护理
nurture,n.,养育；培养
nurture,v.,养育；培养
nut meat,n.,坚果仁
nut shell,n.,坚果壳
nutriment,n.,营养品
nutrition loss,n.,营养流失
nutritional,adj.,营养的
nutritional food,n.,营养食品
nutritious,adj.,有营养的
nuts,adj.,疯了的；狂热的
nuts,int.,胡说
nuts,n.,坚果（复数）
nuts,v.,采坚果（第三人称单数）
oar,n.,桨
oar,v.,划（船）
oasis,n.,绿洲；（困境中的）令人欣慰之处
oath,n.,誓言；誓约
obdurate,adj.,顽固的；冷酷无情的
obedient,adj.,服从的；顺从的
obese,adj.,肥胖的
obey traffic rules,phr.,遵守交通规则
object diagram,phr.,对象图
object-oriented language,phr.,面向对象的语言
object-oriented programming,phr.,面向对象编程
objectify,v.,使客观化；使具体化
objectively,adv.,客观地
objectives,n.,目标（复数）
objectivity,n.,客观性
obligatory,adj.,强制性的；必须的
obliterate,v.,彻底摧毁；抹去
oblivious,adj.,未察觉的；健忘的
oblong,adj.,长方形的
oblong,n.,长方形
obloquy,n.,辱骂；耻辱
obnoxious,adj.,极其讨厌的
oboe,n.,双簧管
obscene,adj.,淫秽的；猥亵的
obscurely,adv.,费解地；不引人注目地
observation car,n.,观光车厢
observe objects,phr.,观察物体
obsess,v.,使着迷；缠住
obsession,n.,痴迷；困扰
obsessive,adj.,强迫性的；过分着迷的
obsolete,adj.,过时的；淘汰的
obsolete,n.,过时的人或物
obsolete,v.,淘汰
obstacle race,n.,障碍赛跑
obstruct,v.,阻碍；阻塞
obstructive,adj.,阻碍的；蓄意阻挠的
obstructive,n.,妨碍物
obtain funds for farm buildings,phr.,为农场建筑获得资金
obtrude,v.,强加；闯入
obtrusive,adj.,碍眼的；强迫人的
occultation,n.,掩星
occupancy,n.,占用；居住
occupancy rate,n.,入住率；占用率
occupant,n.,居住者；占有人
occupationally,adv.,职业上
ocean condition,n.,海况
ocean currents,n.,洋流
ocean floor,n.,海底
ocean liner,n.,远洋客轮
octagonal-shaped,adj.,八角形的
oculist,n.,眼科医生
odometer,n.,里程表
odoriferous,adj.,有气味的
odour,n.,气味
off-side,n.,越位
offence,n.,冒犯；违法行为；攻击
offensive,adj.,冒犯的；攻击性的；令人不快的
offensive,n.,攻势
offer advice,phr.,提供建议
offhand,adj.,随意的；即席的
offhand,adv.,随口地；未经准备地
office assistant,n.,办公室助理
office block,n.,办公大楼
office building,n.,办公楼
office furniture,n.,办公家具
office staff,n.,办公室职员
official newspaper,n.,官方报纸
offline,adv.,离线
offset,n.,补偿；抵消
offset,v.,补偿；抵消
offspring,n.,后代；子女
oftcited,adj.,常被引用的
oil filter,n.,滤油器
oil price,n.,油价
oil tanker,n.,油轮
oily food,n.,油腻食物
okay,adj.,好的；可以的
old clothes,n.,旧衣服
old generations,n.,老一辈
old-age pension,n.,养老金
old-fashioned,adj.,老式的；过时的
oldest,adj.,最老的；最旧的
oligopoly,n.,寡头垄断
olive,adj.,橄榄色的
olive,n.,橄榄；橄榄树
olive oil,n.,橄榄油
omelet,n.,煎蛋卷；摊鸡蛋
omnipotent,adj.,全能的
omniscient,adj.,无所不知的
omniscient,n.,无所不知者
omnivorous,adj.,杂食的
on a course,phr.,在上课
on average,phr.,平均而言
on behalf of,phr.,代表
on command,phr.,奉命
on display,phr.,展出
on installment,phr.,分期付款
on one's behalf,phr.,代表某人
on sale,phr.,出售；打折
on schedule,phr.,按时；按计划
on the brink of,phr.,濒临
on the brink,phr.,在边缘
on the down side,phr.,在不利方面
on the horizon,phr.,即将发生；在地平线上
on the local scale,phr.,在当地范围内
on the margin,phr.,在边缘
on the other hand,phr.,另一方面
on the same wavelength,phr.,想法一致
on the weaker side,phr.,处于弱势
on top of,phr.,在…之上；另外
on-line,adj.,在线的
on-the-job,adj.,在职的
one-act play,n.,独幕剧
one-man bus,n.,无人售票公交车
one-way ticket,n.,单程票
online game,n.,网络游戏
online service,n.,在线服务
online shopping,n.,网上购物
onset,n.,开始；发作
onshore,adj.,陆上的；向岸的
onshore,adv.,在陆上；向岸上
onslaught,n.,猛攻；突击
onto,prep.,到…上
onwards,adv.,向前
ooze,n.,软泥；渗出物
ooze,v.,渗出；泄漏
opacity,n.,不透明性
open a new business,phr.,创业；开新店
open admission,phr.,自由入学制
open seas,phr.,公海
open shelves,phr.,开架
open ticket,n.,不定日期票
open time,n.,开放时间
open tournament,n.,公开赛
open well,n.,开放式水井
open-air pool,n.,露天游泳池
open-air theatre,n.,露天剧场
open-book examination,n.,开卷考试
opening ceremony,n.,开幕式
opening hours,n.,营业时间
operatic,adj.,歌剧的
opera house,n.,歌剧院
operand,n.,操作数
operating,adj.,操作的
operating theatre,n.,手术室
operation display,n.,操作显示
operation manual,n.,操作手册
operative,adj.,起作用的；有效的
operative,n.,特工；操作员
operator overloading,phr.,运算符重载
opinion poll,n.,民意调查
opportunities,n.,机会（复数）
oppression,n.,压迫；压抑
opt for,v.,选择
optic,adj.,视觉的；光学的
optic,n.,眼睛
optical,adj.,视觉的；光学的
optician,n.,眼镜商
optics,n.,光学
optimal,adj.,最佳的；最理想的
optimist,n.,乐观主义者
optimize,v.,优化；使最优化
optimum,adj.,最佳的
optimum,n.,最佳条件
optometrist,n.,验光师
opulence,n.,富裕；丰富
opulent,adj.,富裕的；丰富的
orange juice,n.,橙汁
orange peel,n.,橘子皮
orbital,adj.,轨道的
orchard,n.,果园
orchestra conductor,phr.,管弦乐队指挥
orchestra pit,n.,乐池
orchestrate,v.,精心策划；为管弦乐队谱曲
orchid,adj.,淡紫色的
orchid,n.,兰花
order,n.,命令；顺序；秩序；订单
order,v.,命令；点（菜）；订购
order of operations,phr.,运算顺序
ordinary light,n.,普通光
ore,n.,矿石
organic food,n.,有机食品
organisation,n.,组织；机构
organization,n.,组织；机构
organizer,n.,组织者
orientate,v.,使朝向；使适应
oriented,adj.,以…为导向的
originality,n.,创意；独创性
origins,n.,起源（复数）
ornamental,adj.,装饰性的
orphan,adj.,孤儿的
orphan,n.,孤儿
orphan,v.,使成为孤儿
orthodox,adj.,正统的；传统的
orthodox,n.,正统的人
orthodoxy,n.,正统观念
orthography,n.,正字法
orthopaedic,adj.,整形外科的
osseous,adj.,骨的
ossify,v.,（使）骨化；（使）僵化
osteopath,n.,整骨医生
osteoporosis,n.,骨质疏松症
ostrich,n.,鸵鸟
ounce,n.,盎司
out of bounds,phr.,越界；禁止入内
out of character,phr.,不符合性格
out of fashion,adj.,过时的
out of print,phr.,已绝版的
out of sight,adv.,看不见
out of the question,phr.,不可能的
out on loan,phr.,外借的
out-going,adj.,外向的；即将离职的
outcast,adj.,被抛弃的
outcast,n.,被社会遗弃者
outcomes,n.,结果（复数）
outcrop,n.,（岩石）露头
outcry,n.,强烈抗议；呐喊
outdo,v.,超过；胜过
outdoor activities,n.,户外活动
outdoor advertising,n.,户外广告
outdoor billboards,n.,户外广告牌
outdoor shows,n.,户外表演
outfit,n.,全套服装；全套装备
outfit,v.,配备
outlay,n.,费用；开支
outmoded,adj.,过时的
outnumber,v.,在数量上超过
outpost,n.,前哨；偏远村镇
outrage,n.,暴行；愤慨
outrage,v.,激怒；施暴
outsell,v.,卖得比…多
outside the law,phr.,不受法律约束
outside the major visitor area,phr.,在主要游客区外
outskirts,n.,郊区
outspoken,adj.,直言不讳的
outstrip,v.,超过；胜过
outweigh,v.,比…更重要；重于
ovens,n.,烤箱（复数）
over-commercialized,adj.,过度商业化的
over-exploitation,n.,过度开采
over-indulged,v.,过度沉溺的；被溺爱的
over-rate,v.,高估
overbearing,adj.,专横的；傲慢的
overcrowded,adj.,过度拥挤的
overdone,adj.,煮过头的；做得过分的
overdose,n.,（药物）过量
overdose,v.,服药过量
overdraft,n.,透支
overestimate,v.,高估
overexploit,v.,过度开采
overfill,v.,装得太满
overfishing,n.,过度捕捞
overflow,n.,溢出；泛滥
overflow,v.,（使）溢出；（使）泛滥
overgraze,v.,过度放牧
overhand smash,phr.,高压扣杀
overhang,n.,悬垂物
overhang,v.,悬于…之上；逼近
overhead projector,n.,投影仪
overhead smash,n.,高压扣杀
overhead view,n.,俯视图
overlap,n.,重叠部分
overlap,v.,（与…）部分重叠
overlapping,adj.,重叠的
overlay,v.,覆盖
overlie,v.,躺在…上面
overload,n.,超载；负荷过多
overload,v.,使超载
overly,adv.,过度地
overlying,adj.,覆盖在上面的
overlying,v.,覆盖（的现在分词）
overpaid,adj.,薪水过高的
overpopulation,n.,人口过剩
overrate,v.,高估
override,v.,否决；推翻；凌驾于
overseas student,n.,留学生
overshadow,v.,使黯然失色；遮蔽
overstaff,v.,人员超额配备
overstaffed,adj.,人员过多的
overstate,v.,夸大
overstock,n.,库存过多
overstock,v.,进货过多
overuse,n.,过度使用
overuse,v.,过度使用
overview,n.,概述；概览
overweight,adj.,超重的
overweight,n.,超重
overwork,n.,过度工作
overwork,v.,（使）工作过度
overwrite,v.,重写；覆盖
owe,v.,欠；归功于
owe to,phr.,归功于
owl,n.,猫头鹰
ox,n.,公牛
oxide,n.,氧化物
oxygen mask,n.,氧气面罩
oxygenated,adj.,充氧的
oyster,n.,牡蛎；生蚝
ozone,n.,臭氧
ozone layer,n.,臭氧层
pacifier,n.,奶嘴；调解人
pacify,v.,使平静；安抚
packaging,n.,包装
packed,adj.,挤满了人的；塞得满满的
packet,n.,小包；小袋
packing,n.,包装；打包
pagoda,n.,（亚洲的）塔
pail,n.,桶
paining,v.,使疼痛（的现在分词）
painkiller,n.,止痛药
painkillers,n.,止痛药（复数）
painstaking,adj.,辛苦的；需细心的
paintbrush,n.,画笔；油漆刷
painted,adj.,油漆过的；彩绘的
painting,n.,绘画；油画
pairs,n.,一对（复数）
pal,n.,朋友；伙伴
pale,adj.,苍白的；暗淡的
pale,n.,范围；界限
pale,v.,（使）变得苍白；相形见绌
pall,n.,棺罩；（令人窒息的）黑云
pall,v.,变得乏味
pamper,v.,纵容；娇惯
pamphlet,n.,小册子
pancreas,n.,胰腺
pancreatic,adj.,胰腺的
pane,n.,一块窗玻璃
panorama,n.,全景
panting,adj.,气喘吁吁的
panting,n.,喘气
panting,v.,喘气（的现在分词）
pantomime,n.,哑剧
pantomime,v.,打手势示意
papaya,n.,木瓜
paper clip,n.,回形针
paper jams,phr.,卡纸
paper napkin,n.,纸巾
paper-cutting,n.,剪纸
paperclip,n.,回形针
papershop,n.,报刊店
par,adj.,标准的；正常的
par,n.,标准杆数（高尔夫）；标准；同等水平
parachute,n.,降落伞
parachute,v.,跳伞；空投
parachuting,n.,跳伞运动
parachutist,n.,跳伞者
paraconsciously,adv.,潜意识地
paradigm,n.,范例；典范
paradoxical,adj.,似是而非的；自相矛盾的
paragraphs,n.,段落（复数）
parallel bars,n.,双杠
paralyse,v.,使瘫痪；使麻痹
paralysed,adj.,瘫痪的
paralysis,n.,瘫痪；麻痹
paralyze,v.,使瘫痪；使麻痹
parameter,n.,参数；界限
paramilitary,adj.,准军事的
paramilitary,n.,准军事部队
paramount,adj.,至关重要的；至高无上的
paramount,n.,最高统治者
paraphrase,n.,释义；意译
paraphrase,v.,意译；改写
parasite,n.,寄生虫；依赖他人的人
parenthesis,n.,括号；插入语
parents,n.,父母
parity,n.,平等；均等
parking,adj.,停车的
parking,n.,停车
parking lot,n.,停车场
parking meter,n.,停车计时器
parking space,n.,停车位
parent class,phr.,父类
parental guidance,phr.,家长指导
parental teaching,phr.,父母的教导
parlor,n.,客厅；店堂
parlour,n.,客厅；店堂
parse,v.,做语法分析；解析
part-time,adj.,兼职的
part-time,adv.,兼职地
partiality,n.,偏心；偏袒
participle,n.,分词
particulate,n.,微粒；颗粒物
parties,n.,当事人；聚会；党派
partition,n.,隔板；分割
pass down,传承；传下去 
